stock,name,year,month,price,sector,subsector,PE,P_FCF,ROA,ROC,ROE,OPROE,EPS_GROWTH,EBIT,EBIT_MARGIN
1340426D GF Equity,DEPFA BANK PLC,2019,1,14.75,Financials,Banks,NA,NA,0.3918,0.5085,8.616,8.616,-750.0618,75.768,NA
1340426D GY Equity,DEPFA BANK PLC,2019,1,14.86,Financials,Banks,NA,NA,0.3918,0.5085,8.616,8.616,-750.0618,75.768,NA
1457293D IM Equity,ITALGAS,2019,1,12.77,Utilities,"Gas, Water & Multiutilities",NA,NA,NA,NA,NA,NA,NA,NA,NA
1518855D US Equity,YAHOO! INC - SET UP FOR FUND,2019,1,52.79,Technology,Software & Computer Services,221.8528,57.2708,-0.0315,0.1113,-0.049,0.7258,112.5,-58.747,-9.9199
1COV GY Equity,COVESTRO AG,2019,1,49.23,Basic Materials,Chemicals,5.1649,5.715,20.8719,34.2273,42.9208,42.5962,6.5844,811.636,21.3104
2974820Q GY Equity,BUDERUS AG,2019,1,37.05,Industrials,Construction & Materials,20.6473,NA,17.2146,NA,39.2586,19.0396,-18.3784,29.848,7.766
3465593Q SQ Equity,GRUPO FERROVIAL,2019,1,30.74,Industrials,Construction & Materials,119.2347,NA,-2.2504,6.9141,-41.1437,-28.4383,2511.6173,574,12.407399999999999
3577044Z NA Equity,RBS HOLDINGS NV,2019,1,37.51,Financials,Banks,20.6685,NA,0.4426,1.0527,19.4197,15.5022,-23.5723,NA,NA
3593258Q SM Equity,AMADEUS IT GROUP SA/SPAIN,2019,1,7.35,Technology,Software & Computer Services,17.5837,11.8141,13.1504,20.4963,24.7829,24.7829,39,127.85275999999999,15.5178
3604532Q FP Equity,SNECMA,2019,1,25.12,Industrials,Aerospace & Defense,28.6913,22.6817,2.8622,11.3086,18.7575,18.7575,NA,531.524,6.7968
63DU GY Equity,DEUTSCHE BOERSE AG-NEW,2019,1,48.695,Financials,Financial Services,10.5895,12.6998,0.5785,14.258,18.8464,19.8745,11.9266,375.96999999999997,48.7142
926002Q GY Equity,T-ONLINE INTERNATIONAL AG,2019,1,6.88,Technology,Software & Computer Services,53.4615,27.507,2.5663,NA,2.8352,2.8352,-75,1.148,3.0443
934842Q FP Equity,REXEL SA-OLD,2019,1,31.12,Industrials,Support Services,16.4569,12.8577,2.5498,6.2178,7.1429,7.1429,38.4615,635.3032,4.3027
968382Q SQ Equity,INMOBILIARIA COLONIAL SA/OLD,2019,1,56.75,Financials,Real Estate Investment & Services,4.963,NA,10.8597,8.298,31.3976,31.2821,39.0629,418.9051999999999,50.3797
A US Equity,AGILENT TECHNOLOGIES INC,2019,1,75.21,Industrials,Electronic & Electrical Equipment,26.8966,26.18,3.7249,5.1612,6.7248,19.2078,10.9091,249,18.8848
A2A IM Equity,A2A SPA,2019,1,1.5815000000000001,Utilities,Electricity,15.3524,6.8546,3.9859,5.0003,13.6711,15.3556,-20.6104,123.984,13.0412
A3M SQ Equity,ATRESMEDIA CORP DE MEDIOS DE,2019,1,4.28,Consumer Services,Media,10.8483,9.2316,9.335,NA,24.329,25.0248,-12.495,21.12894,15.528
AA US Equity,ALCOA CORP,2019,1,29.28,Basic Materials,Industrial Metals & Mining,8.291,112.1085,1.3599,10.7775,4.5803,13.5997,-2.439,432,13.303
AAL US Equity,AMERICAN AIRLINES GROUP INC,2019,1,36.31,Consumer Services,Travel & Leisure,7.9366,116.321,2.4911,7.5803,55.0642,67.0795,27.7778,549,5.9653
AALB NA Equity,AALBERTS NV,2019,1,30,Industrials,Industrial Engineering,14.2007,17.4582,7.0715,10.3722,14.8978,14.8464,11.3208,186.20559999999998,11.4564
AAP US Equity,ADVANCE AUTO PARTS INC,2019,1,158.4,Consumer Services,General Retailers,23.0187,19.0608,6.3634,13.6115,16.1066,14.0035,20.7692,154.241,6.3829
AAPL US Equity,APPLE INC,2019,1,166.11,Technology,Technology Hardware & Equipment,13.7041,12.9682,16.0668,26.382,49.3636,49.2094,41.3462,16118,26.694
ABBV US Equity,ABBVIE INC,2019,1,78.95,Health Care,Pharmaceuticals & Biotechnology,11.0771,9.613,8.74,18.1677,148.5674,211.5308,77.451,-2441,19.4883
ABC US Equity,AMERISOURCEBERGEN CORP,2019,1,80.48,Consumer Services,Food & Drug Retailers,15.4501,11.6865,3.1475,17.3341,40.189,39.8905,-52.9114,477.823,0.8692
ABE SQ Equity,ABERTIS INFRAESTRUCTURAS SA,2019,1,18.36,Industrials,Industrial Transportation,19.7016,13.0907,2.9415,7.2991,29.3989,26.1031,50.762,468.640004,40.082
ABG/P SQ Equity,ABENGOA SA- B SHARES,2019,1,0.0081,Oil & Gas,Alternative Energy,NA,NA,-11.3068,220.0644,-160.9866,-92.1416,34.0704,30.095968,5.6373999999999995
ABI BB Equity,ANHEUSER-BUSCH INBEV SA/NV,2019,1,65.85,Consumer Goods,Beverages,34.4258,16.0143,3.2873,6.3493,11.3905,12.4506,2.6042,9468.704,31.2386
ABK US Equity,AMBAC FINANCIAL GROUP INC,2019,1,0.52,Financials,Nonlife Insurance,NA,NA,-0.8506,-1.5144,-112.0556,-112.1641,-688.2353,NA,NA
ABMD US Equity,ABIOMED INC,2019,1,359.54,Health Care,Health Care Equipment & Services,72.9875,82.2727,26.4686,-37.9528,29.9057,29.9057,233.3333,62.355,28.0936
ABN NA Equity,ABN AMRO BANK NV-CVA,2019,1,22.06,Financials,Nonequity Investment Instruments,9.2568,NA,0.6243,1.7242,11.5492,11.7198,5.7143,NA,NA
ABT US Equity,ABBOTT LABORATORIES,2019,1,71.31,Health Care,Pharmaceuticals & Biotechnology,40.1399,26.2106,3.3021,2.1226,7.7107,10.5334,-3.125,1165,11.9367
ABX US Equity,BARRICK GOLD CORP,2019,1,12.89,Basic Materials,Mining,73.3501,26.1864,-2.6916,-2.3252,-7.1486,2.1891,-3400,-79,5.1143
AC FP Equity,ACCOR SA,2019,1,38.5,Consumer Services,Travel & Leisure,75.1091,26.306,20.6538,27.5245,44.2235,7.0262,41.622,252.55999999999997,15.3193
ACA FP Equity,CREDIT AGRICOLE SA,2019,1,10.182,Financials,Banks,7.1612,NA,0.239,1.1305,5.9741,6.7029,3.064,NA,NA
ACAS US Equity,ACAS LLC,2019,1,17.85,Financials,Equity Investment Instruments,18.2583,14.0875,-0.9325,-0.9575,-1.2142,4.7192,113.0435,164,NA
ACE IM Equity,ACEA SPA,2019,1,13.25,Utilities,Electricity,10.4784,6.9909,3.285,6.1248,14.4308,15.2707,45.9393,141.510516,14.9146
ACKB BB Equity,ACKERMANS & VAN HAAREN,2019,1,141,Financials,Financial Services,15.9864,34.4731,2.0565,6.7002,9.6419,11.1286,-16.3772,204.477168,NA
ACN US Equity,ACCENTURE PLC-CL A,2019,1,153.5,Industrials,Support Services,22.2394,17.8387,16.9522,37.6668,38.6664,41.0401,9.8901,1629.012,14.1958
ACS SQ Equity,ACS ACTIVIDADES CONS Y SERV,2019,1,36.43,Industrials,Construction & Materials,12.4257,24.3944,2.2294,9.0258,27.4567,32.7508,27.5942,428.20399999999995,4.1186
ACX SQ Equity,ACERINOX SA,2019,1,9.312,Basic Materials,Industrial Metals & Mining,11.0662,15.0848,6.6226,NA,14.8091,14.8013,1403.625,128.576,7.4972
AD NA Equity,KONINKLIJKE AHOLD DELHAIZE N,2019,1,23,Consumer Services,Food & Drug Retailers,14.9481,10.4489,5.9159,10.9102,13.7978,12.0236,41.3793,702.5759999999999,3.7609
ADBE US Equity,ADOBE INC,2019,1,243,Technology,Software & Computer Services,47.4448,32.3037,15.5582,22.44,29.0739,29.1485,36.2745,720.546,31.4548
ADCT US Equity,COMMSCOPE CONNECTIVITY LLC,2019,1,12.76,Technology,Technology Hardware & Equipment,30.8589,11.5244,4.4001,8.4297,15.780100000000001,10.7152,387.5,15.6,3.9685
ADI US Equity,ANALOG DEVICES INC,2019,1,98.74,Technology,Technology Hardware & Equipment,17.6698,16.7501,6.7691,9.2472,13.5724,19.2009,516.6667,499.039,29.5593
ADM US Equity,ARCHER-DANIELS-MIDLAND CO,2019,1,44.47,Consumer Goods,Food Producers,12.8178,22.2936,5.8067,10.1837,12.4901,10.7392,179.4118,523,2.9831
ADP FP Equity,ADP,2019,1,164.7,Industrials,Industrial Transportation,27.1308,43.7725,4.803,7.7032,14.0011,11.6575,26.9939,491.34399999999994,24.0075
ADP US Equity,AUTOMATIC DATA PROCESSING,2019,1,138.83,Industrials,Support Services,27.806,23.5523,4.356,27.4086,41.7569,50.9748,-15.7895,747,20.2721
ADS GY Equity,ADIDAS AG,2019,1,206.5,Consumer Goods,Personal Goods,24.5766,20.2694,10.3806,20.0217,24.737,25.5638,20.7407,1034.348,11.0352
ADS US Equity,ALLIANCE DATA SYSTEMS CORP,2019,1,178.61,Industrials,Support Services,10.103,3.8103,3.2936,31.6133,48.8828,45.5364,28.5036,522,22.7354
ADSK US Equity,AUTODESK INC,2019,1,146.2,Technology,Software & Computer Services,5140.0299,104.0627,-8.0491,NA,-97.0631,-93.4371,80,14.7,-10.3591
ADT US Equity,ADT INC,2019,1,7.15,Industrials,Support Services,22.1459,3.2454,2.0042,2.7218,9.4673,-8.1196,-637.7834,282.439,6.5448
ADYEN NA Equity,ADYEN NV,2019,1,650,Industrials,Support Services,145.4496,51.2058,NA,NA,NA,NA,NA,75.99989599999999,NA
AEE US Equity,AMEREN CORPORATION,2019,1,67.79,Utilities,"Gas, Water & Multiutilities",20.5587,571.1648,2.6134,5.8396,9.1594,11.3859,22.6891,533,22.5693
AENA SQ Equity,AENA SME SA,2019,1,148.85,Industrials,Industrial Transportation,17.0362,15.3999,8.3958,10.3982,23.0395,23.0369,-0.1102,809.2401239999999,43.7498
AEP US Equity,AMERICAN ELECTRIC POWER,2019,1,77.27,Utilities,Electricity,20.0811,84.5385,2.8814,6.681,10.2969,10.4103,-8.642,551.1,16.5643
AES US Equity,AES CORP,2019,1,16.16,Utilities,Electricity,19.2064,48.5385,-0.7487,1.5071,-8.2268,23.9957,-34.7826,628,22.0879
AET US Equity,AETNA INC,2019,1,212.57,Health Care,Health Care Equipment & Services,19.3526,114.8787,6.4025,14.9617,21.639,19.9673,20.0787,1500,9.0588
AF FP Equity,AIR FRANCE-KLM,2019,1,11.26,Consumer Services,Travel & Leisure,11.5858,4.9114,-1.2486,-0.671,-11.3244,23.0685,71.7696,1245.58,-0.7707
AFL US Equity,AFLAC INC,2019,1,47.07,Financials,Life Insurance,11.2747,6.1019,2.1029,10.4218,12.1473,13.6538,-76.9616,NA,NA
AFS US Equity,ASSOCIATES FIRST CAPITAL-A,2019,1,35,Financials,Financial Services,NA,NA,1.7530000000000001,1.8589,15.5252,16.2298,15.0943,1725.7999,NA
AFX GY Equity,CARL ZEISS MEDITEC AG - BR,2019,1,78.9,Health Care,Health Care Equipment & Services,55.9961,41.5564,7.699,9.8399,10.0814,10.4192,-32.2076,71.66964,15.3904
AGF FP Equity,ALLIANZ FRANCE,2019,1,124.21,Financials,Nonlife Insurance,11.8748,7.992,1.657,14.8022,19.4073,19.4073,17.6603,NA,NA
